cid,smiles,acvalue,categories
137641740,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCN(C)C)C)O,0.87,inhibitor
137634240,COC1=C(C=CC(=C1)C=CC(=O)NO)OCC(CC2=CNC3=CC=CC=C32)NC(=O)C4=CC(=CC=C4)Cl,1,inhibitor
137640291,COC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)COC4=C(C=C(C=C4)C=CC(=O)NO)OC,1,inhibitor
155514191,C1=CC(=CC=C1NC2=NC(=NC=C2Cl)NC3=CNN=C3)F,1.03,inhibitor
155522806,C1=CC(=CC(=C1)Cl)NC2=NC(=NC=C2Cl)NC3=CNN=C3,1.08,inhibitor
137648185,CC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)COC4=C(C=C(C=C4)C=CC(=O)NO)OC,1.09,inhibitor
155526590,C1=CC=C(C(=C1)NC2=NC(=NC=C2Cl)NC3=CNN=C3)Cl,1.13,inhibitor
44562042,COCCOCOC1=C(C=C(C(=C1)CC=C)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4,1.16,inhibitor
44562080,COC1=C(C=CC(=C1)C=CC2=CC=C(O2)C(=O)NO)OCC3=CC=CC=C3,1.2,inhibitor
137650130,COC1=C(C=CC(=C1)C=CC(=O)NO)OCC(CC2=CNC3=CC=CC=C32)NC(=O)C4=CC=C(C=C4)Br,1.25,inhibitor
44562044,COCCOCOC1=C(C=C(C(=C1)CC2=CC=CC=C2)C(=O)C=CC3=CC=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,1.27,inhibitor
137659898,C1COC2(O1)C3=C(C=CC(=C3)Br)N(C2=O)CC(=O)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N,1.27,inhibitor
44561980,CCCCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC,1.31,inhibitor
44561978,CCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC,1.32,inhibitor
44561974,C1=CC(=CC=C1C(=O)C=CC2=CC=C(O2)C=CC(=O)NO)Cl,1.35,inhibitor
44561981,CCCCCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC,1.35,inhibitor
127026516,CC(C)CN1C=NC2=C(N=C(N=C21)Cl)NCCCCCCC(=O)NO,1.38,inhibitor
9826896,COCCOCOC1=C(C=C(C=C1)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4,1.48,inhibitor
137658922,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCCN3CCOCC3)C)O,1.57,inhibitor
44561977,CCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC,1.86,inhibitor
122182040,C1COC2(C3=C(C=CC(=C3)Br)N(C2=O)CCC(=O)NC4=CC=C(C=C4)C(=O)NO)OC1,1.91,inhibitor
145993487,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=CC(=C8)[N+](=O)[O-])OC)OC,1.94,inhibitor
137656747,COC1=C(C=CC(=C1)C=CC(=O)C2=CC=CC=C2O)OCCCN3CCCCC3,1.95,inhibitor
155564157,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)Cl)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO,1.96,inhibitor
127048211,COC1=CC=C(C=C1)C2=NN(C=C2C(=O)C=CNC3=CC=C(C=C3)O)C4=CC=CC=C4,1.98,inhibitor
155569352,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC(=CC=C3)Br)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO,2,inhibitor
145989388,CC(=O)C=CC1=CC(=C(C=C1)OCC2=CN(N=N2)C3=CC=C(C=C3)OC)OC,2.013,inhibitor
145987070,CC(=O)C=CC1=CC(=C(C=C1)OCC2=CN(N=N2)C3=CC=CC=C3OC)OC,2.045,inhibitor
137641302,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCCN(C)C)C)O,2.15,inhibitor
137660847,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)N(C)CC(=O)O)C)O,2.25,inhibitor
44561972,CC(C)C1=CC=C(C=C1)C(=O)C=CC2=CC=C(O2)C=CC(=O)NO,2.27,inhibitor
155538693,COC1=CC=C(C=C1)NC2=NC(=NC=C2Cl)NC3=CNN=C3,2.3,inhibitor
155567814,C1=CC=C2C=C(C=CC2=C1)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C5=CC=C(C=C5)C=CC(=O)NO,2.34,inhibitor
44562045,COCCOCOC1=C(C=C(C(=C1)CC=CC2=CC=CC=C2)C(=O)C=CC3=CC=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,2.36,inhibitor
137648641,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCN)C)O,2.42,inhibitor
25053606,COCCOCOC1=C(C=C(C(=C1)O)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4,2.51,inhibitor
155537581,C1=CC(=CC=C1NC2=NC(=NC=C2Cl)NC3=CNN=C3)Cl,2.57,inhibitor
127050793,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)F)C(=O)C=CNC4=CC=C(C=C4)O,2.6,inhibitor
130422855,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)N)OC)OC,2.67,inhibitor
