Name,SMILES
9826896,COCCOCOC1=C(C=C(C=C1)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4
137658922,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCCN3CCOCC3)C)O
44561977,CCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC
122182040,C1COC2(C3=C(C=CC(=C3)Br)N(C2=O)CCC(=O)NC4=CC=C(C=C4)C(=O)NO)OC1
145993487,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=CC(=C8)[N+](=O)[O-])OC)OC
137656747,COC1=C(C=CC(=C1)C=CC(=O)C2=CC=CC=C2O)OCCCN3CCCCC3
155564157,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)Cl)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO
127048211,COC1=CC=C(C=C1)C2=NN(C=C2C(=O)C=CNC3=CC=C(C=C3)O)C4=CC=CC=C4
155569352,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC(=CC=C3)Br)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO
145989388,CC(=O)C=CC1=CC(=C(C=C1)OCC2=CN(N=N2)C3=CC=C(C=C3)OC)OC
145987070,CC(=O)C=CC1=CC(=C(C=C1)OCC2=CN(N=N2)C3=CC=CC=C3OC)OC
137641302,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCCN(C)C)C)O
137660847,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)N(C)CC(=O)O)C)O
44561972,CC(C)C1=CC=C(C=C1)C(=O)C=CC2=CC=C(O2)C=CC(=O)NO
155538693,COC1=CC=C(C=C1)NC2=NC(=NC=C2Cl)NC3=CNN=C3
155567814,C1=CC=C2C=C(C=CC2=C1)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C5=CC=C(C=C5)C=CC(=O)NO
44562045,COCCOCOC1=C(C=C(C(=C1)CC=CC2=CC=CC=C2)C(=O)C=CC3=CC=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
137648641,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCN)C)O
25053606,COCCOCOC1=C(C=C(C(=C1)O)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4
155537581,C1=CC(=CC=C1NC2=NC(=NC=C2Cl)NC3=CNN=C3)Cl
127050793,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)F)C(=O)C=CNC4=CC=C(C=C4)O
130422855,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)N)OC)OC
127027767,C1=CC=C(C=C1)CN2C=NC3=C(N=C(N=C32)Cl)NCCCCCC(=O)NO
145955331,CC12CC(C3C(C1CCC2OCOC)CCC4=C3C=CC(=C4)OCOC)OC(=O)C5=CC=C(C=C5)NC(=O)CN6CCN(CC6)C
137654517,C1=CC2=C(C(=C1)Cl)N=C(C=C2)CNCC3=CC=C(C=C3)C=CC(=O)NO
145989655,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=C(C=C8)Cl)OC)OC
145979046,CC(=O)C=CC1=CC(=C(C=C1)OCC2=CN(N=N2)C3=C(C=CC=C3Cl)Cl)OC
137651729,C1=CC=C2C(=C1)C=CC(=N2)CNCC3=CC=C(C=C3)C=CC(=O)NO
155551917,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)Br)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO
137634840,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)N(C)CCO)C)O
137643415,COC1=CC(=C(C(=C1)OC)C=CC(=O)C=CC2=CNC3=CC=CC=C32)OC
137634331,COC1=CC(=CC(=C1OC)OC)C=CC(=O)C=CC2=CNC3=CC=CC=C32
44562079,CN(C)C1=CC=C(C=C1)C=CC2=CC=C(O2)C(=O)NO
155559200,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)I)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO
132569672,C1COC2(C3=C(C=CC(=C3)Cl)N(C2=O)CCC(=O)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)OC1
145992143,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=C(C=C8)F)OC)OC
145990716,CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C3C=C2CC4C5=C(C(=C(C=C5CCN4C)OC)OC)OC6=C(C=C7CCN(C(C7=C6)CC8=CC=C(O3)C=C8)C)OC)OC)C
137662182,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCN(CC)CC)C)O
145987138,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C)OC)OC
145983670,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC(=CC(=C8)Cl)Cl)OC)OC
145988252,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC(=CC=C8)Br)OC)OC
137656094,COC1=CC=C(C=C1)C=CC(=O)C=CC2=CNC3=CC=CC=C32
155551054,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC3=CC=C(C=C3)Cl)NC(=O)C4=CC=CC(=C4)C=CC(=O)NO
145979603,COC1=CC=C(C=C1)CN(C2=CC(=C(C(=C2)OC)OC)OC)C(=O)CSC3=NC4=CC=CC=C4O3
5351344,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
118716316,C1=CSC(=C1)C2=NN=C(S2)NC(=O)CCCCCCC(=O)NO
127051687,C1=CC=C(C=C1)C2=NN(C=C2C(=O)C=CNC3=CC=C(C=C3)O)C4=CC=CC=C4
137641414,COC1=CC2=C(C=C1)N=C(C=C2)CNCC3=CC=C(C=C3)C=CC(=O)NO
145960305,CC12CC(C3C(C1CCC2OC)CCC4=CC(=C(C=C34)OC)OC)OC(=O)C5=CC=C(C=C5)NC(=O)CN6CCCC6
